iterations,values
33000,[0.24815959 0.03398878 0.01998257 0.01155369 0.54159122 0. 0.00490177 0.         0.06997542 0.09559194 0.84725207 0. 0.         0.86046717 0.99340084 0.        ]
33500,[0.22493131 0.11612627 0.0046658  0.00218067 0.40704761 0. 0.00289959 0.         0.64455478 0.84746546 0.92415364 0. 0.         0.56393223 0.9563965  0.        ]
34000,[6.07775534e-01 1.84522142e-01 1.53032796e-02 2.01022623e-02 2.41301105e-01 0.00000000e+00 9.81149421e-04 0.00000000e+00 7.70774093e-01 7.05605589e-01 8.50561630e-01 0.00000000e+00 0.00000000e+00 8.33936537e-01 9.83466844e-01 0.00000000e+00]
34500,[0.06649037 0.11785712 0.04914411 0.03680281 0.05874957 0. 0.10038437 0.         0.40429686 0.48782989 0.90098857 0. 0.         0.88345167 0.99928281 0.        ]
35000,[5.79372192e-01 1.04005757e-02 1.46944105e-03 1.35205090e-03 2.23532215e-01 0.00000000e+00 4.53460794e-07 0.00000000e+00 5.45777142e-01 8.46706709e-02 8.25224355e-03 0.00000000e+00 0.00000000e+00 8.11625284e-01 9.99873818e-01 0.00000000e+00]
35500,[0.19879506 0.08919899 0.04330378 0.01632695 0.29108551 0. 0.15091025 0.         0.60221327 0.39592861 0.86895097 0. 0.         0.90760877 0.99976155 0.        ]
36000,[0.21906848 0.60950678 0.134715   0.00216551 0.11755868 0. 0.03377164 0.         0.26479583 0.49247196 0.32395434 0. 0.         0.68906337 0.97183372 0.        ]
36500,[2.82217548e-01 3.66652214e-01 8.78325919e-02 5.06346918e-03 4.18934216e-01 0.00000000e+00 5.39171535e-04 0.00000000e+00 6.61817801e-01 2.56991925e-01 3.13377352e-02 0.00000000e+00 0.00000000e+00 7.74859097e-01 8.22379341e-01 0.00000000e+00]
37000,[4.48592364e-01 6.32831517e-03 4.38388557e-03 4.26363937e-03 4.61067044e-01 0.00000000e+00 1.28832065e-05 0.00000000e+00 4.95871508e-01 1.30733535e-01 8.53382542e-01 0.00000000e+00 0.00000000e+00 6.72430692e-01 9.67822721e-01 0.00000000e+00]
37500,[0.04824683 0.01260421 0.00303681 0.00221321 0.26112169 0. 0.00683726 0.         0.70593143 0.7749607  0.92525078 0. 0.         0.94305765 0.99870294 0.        ]
38000,[0.41660296 0.11130681 0.01220476 0.00797545 0.58316147 0. 0.0063659  0.         0.38288807 0.79711279 0.09983066 0. 0.         0.88615082 0.99940586 0.        ]
38500,[0.27968724 0.06297389 0.00225814 0.00192239 0.39983045 0. 0.0363035  0.         0.41034713 0.14112207 0.67301076 0. 0.         0.59888982 0.97736935 0.        ]
39000,[4.20574942e-02 3.51799015e-02 1.90589424e-02 1.71013151e-02 3.40081231e-02 0.00000000e+00 3.42247111e-06 0.00000000e+00 3.94419475e-01 5.03776325e-01 7.84323883e-02 0.00000000e+00 0.00000000e+00 8.91630190e-01 9.97510774e-01 0.00000000e+00]
39500,[0.26960729 0.01126037 0.03276734 0.01766987 0.24211819 0. 0.00337649 0.         0.18684762 0.52608229 0.84343946 0. 0.         0.74026732 0.97359939 0.        ]
40000,[0.33705194 0.2044165  0.6809768  0.00687076 0.48811994 0. 0.00795598 0.         0.722897   0.85224312 0.9161386  0. 0.         0.51463494 0.99623009 0.        ]
40003,[0.55241416 0.2044165  0.6809768  0.00687076 0.4496377  0. 0.00795598 0.         0.43259833 0.8541822  0.10143152 0. 0.         0.7486441  0.78013445 0.        ]
